"Dallas,","SkyWest Airlines Inc.,Southwest Airlines Co.,Alaska Airlines Inc.,Delta Air Lines Inc."
Dallas/Fort,"Mesa Airlines Inc.,American Airlines Inc.,Republic Airlines,Frontier Airlines Inc.,SkyWest Airlines Inc.,Delta Air Lines Inc.,United Air Lines Inc.,Comair Inc.,Spirit Air Lines,Horizon Air,JetBlue Airways,Envoy Air,Alaska Airlines Inc.,Endeavor Air Inc."
"Dayton,","Mesa Airlines Inc.,Capital Cargo International,Allegiant Air,Air Wisconsin Airlines Corp,Comair Inc.,Envoy Air,Republic Airlines,SkyWest Airlines Inc.,Delta Air Lines Inc.,GoJet Airlines, LLC d/b/a United Express,Endeavor Air Inc.,United Air Lines Inc."
Daytona,"Mesa Airlines Inc.,American Airlines Inc.,Comair Inc.,Envoy Air,Delta Air Lines Inc."
"Deadhorse,","Horizon Air,Alaska Airlines Inc."
"Decatur,",SkyWest Airlines Inc.
Del,"Envoy Air,SkyWest Airlines Inc."
"Denver,","American Airlines Inc.,Commutair Aka Champlain Enterprises, Inc.,Allegiant Air,Spirit Air Lines,JetBlue Airways,Envoy Air,Frontier Airlines Inc.,SkyWest Airlines Inc.,Southwest Airlines Co.,Alaska Airlines Inc.,Delta Air Lines Inc.,United Air Lines Inc."
Des,"Mesa Airlines Inc.,American Airlines Inc.,Air Wisconsin Airlines Corp,Republic Airlines,Frontier Airlines Inc.,SkyWest Airlines Inc.,Southwest Airlines Co.,Delta Air Lines Inc.,United Air Lines Inc.,Allegiant Air,Commutair Aka Champlain Enterprises, Inc.,Comair Inc.,Envoy Air,GoJet Airlines, LLC d/b/a United Express,Endeavor Air Inc."
"Detroit,","Mesa Airlines Inc.,American Airlines Inc.,Capital Cargo International,Air Wisconsin Airlines Corp,Republic Airlines,Frontier Airlines Inc.,SkyWest Airlines Inc.,Delta Air Lines Inc.,Southwest Airlines Co.,United Air Lines Inc.,Commutair Aka Champlain Enterprises, Inc.,Comair Inc.,Spirit Air Lines,JetBlue Airways,Envoy Air,Alaska Airlines Inc.,GoJet Airlines, LLC d/b/a United Express,Endeavor Air Inc."
Devils,SkyWest Airlines Inc.
"Dickinson,","Commutair Aka Champlain Enterprises, Inc.,SkyWest Airlines Inc."
"Diego,","American Airlines Inc.,Allegiant Air,Spirit Air Lines,Horizon Air,JetBlue Airways,Frontier Airlines Inc.,SkyWest Airlines Inc.,Southwest Airlines Co.,Alaska Airlines Inc.,Delta Air Lines Inc.,United Air Lines Inc.,Hawaiian Airlines Inc."
"Dillingham,","Horizon Air,Alaska Airlines Inc."
Dodge,SkyWest Airlines Inc.
"Dodge,",SkyWest Airlines Inc.
"Dothan,",Endeavor Air Inc.
"Dubuque,",Envoy Air
"Duluth,","Air Wisconsin Airlines Corp,Republic Airlines,SkyWest Airlines Inc.,Endeavor Air Inc."
"Durango,","Mesa Airlines Inc.,Commutair Aka Champlain Enterprises, Inc.,Frontier Airlines Inc.,SkyWest Airlines Inc."
"Eagle,","American Airlines Inc.,SkyWest Airlines Inc.,Delta Air Lines Inc.,United Air Lines Inc."
Eau,SkyWest Airlines Inc.
El,"Mesa Airlines Inc.,American Airlines Inc.,Allegiant Air,Commutair Aka Champlain Enterprises, Inc.,Horizon Air,Envoy Air,Frontier Airlines Inc.,Republic Airlines,SkyWest Airlines Inc.,Alaska Airlines Inc.,Delta Air Lines Inc.,Southwest Airlines Co.,United Air Lines Inc."
"Elko,",SkyWest Airlines Inc.
"Elmira/Corning,","Allegiant Air,SkyWest Airlines Inc."
"Erie,","Capital Cargo International,Air Wisconsin Airlines Corp,Comair Inc."
"Escanaba,",SkyWest Airlines Inc.
"Eugene,","Mesa Airlines Inc.,American Airlines Inc.,Allegiant Air,Horizon Air,SkyWest Airlines Inc.,Southwest Airlines Co.,United Air Lines Inc."
"Evansville,","Capital Cargo International,Allegiant Air,Air Wisconsin Airlines Corp,Envoy Air,SkyWest Airlines Inc.,Delta Air Lines Inc.,Endeavor Air Inc."
"Everett,","Horizon Air,Alaska Airlines Inc."
FL,"Mesa Airlines Inc.,American Airlines Inc.,Capital Cargo International,Air Wisconsin Airlines Corp,Republic Airlines,Frontier Airlines Inc.,SkyWest Airlines Inc.,Southwest Airlines Co.,Delta Air Lines Inc.,United Air Lines Inc.,Hawaiian Airlines Inc.,Commutair Aka Champlain Enterprises, Inc.,Allegiant Air,Comair Inc.,Spirit Air Lines,JetBlue Airways,Envoy Air,Alaska Airlines Inc.,Endeavor Air Inc."
"Fairbanks,","Horizon Air,Alaska Airlines Inc.,Delta Air Lines Inc.,United Air Lines Inc."
"Falls,","Mesa Airlines Inc.,Air Wisconsin Airlines Corp,Republic Airlines,Frontier Airlines Inc.,SkyWest Airlines Inc.,Delta Air Lines Inc.,United Air Lines Inc.,Commutair Aka Champlain Enterprises, Inc.,Allegiant Air,Comair Inc.,Spirit Air Lines,Horizon Air,Envoy Air,GoJet Airlines, LLC d/b/a United Express,Endeavor Air Inc."
"Fargo,","Mesa Airlines Inc.,Allegiant Air,Air Wisconsin Airlines Corp,Envoy Air,Frontier Airlines Inc.,Republic Airlines,SkyWest Airlines Inc.,Delta Air Lines Inc.,GoJet Airlines, LLC d/b/a United Express,Endeavor Air Inc."
